# samples=4671226772094713856 bins=1000 xmax=20
x_center, volfrac_A, count_A, count_total
3.870000e+00,8.874587e-01,39231,44206
3.890000e+00,8.949035e-01,39561,44207
3.910000e+00,8.969858e-01,39044,43528
3.930000e+00,9.056870e-01,39161,43239
3.950000e+00,9.115798e-01,38857,42626
3.970000e+00,9.168623e-01,38665,42171
3.990000e+00,9.229488e-01,38786,42024
4.010000e+00,9.235188e-01,38423,41605
4.030000e+00,9.290027e-01,39700,42734
4.050000e+00,9.349235e-01,39666,42427
4.070000e+00,9.395516e-01,39184,41705
4.090000e+00,9.409137e-01,38760,41194
4.110000e+00,9.470414e-01,39020,41202
4.130000e+00,9.516955e-01,39936,41963
4.150000e+00,9.552693e-01,39893,41761
4.170000e+00,9.567437e-01,38795,40549
4.190000e+00,9.605978e-01,39080,40683
4.210000e+00,9.640885e-01,39115,40572
4.230000e+00,9.640293e-01,39075,40533
4.250000e+00,9.659784e-01,38785,40151
4.270000e+00,9.694908e-01,38609,39824
4.290000e+00,9.717629e-01,39026,40160
4.310000e+00,9.736522e-01,39282,40345
4.330000e+00,9.769240e-01,38906,39825
4.350000e+00,9.773654e-01,38344,39232
4.370000e+00,9.797156e-01,38301,39094
4.390000e+00,9.812489e-01,38044,38771
4.410000e+00,9.821287e-01,38469,39169
4.430000e+00,9.845403e-01,38338,38940
4.450000e+00,9.848807e-01,37521,38097
4.470000e+00,9.852014e-01,38147,38720
4.490000e+00,9.866268e-01,37921,38435
4.510000e+00,9.870026e-01,38425,38931
4.530000e+00,9.894492e-01,39200,39618
4.550000e+00,9.910047e-01,39110,39465
4.570000e+00,9.913429e-01,38476,38812
4.590000e+00,9.922033e-01,39196,39504
4.610000e+00,9.922321e-01,39470,39779
4.630000e+00,9.929784e-01,39314,39592
4.650000e+00,9.929143e-01,38956,39234
4.670000e+00,9.946400e-01,38598,38806
4.690000e+00,9.941815e-01,39128,39357
4.710000e+00,9.950984e-01,38979,39171
4.730000e+00,9.955163e-01,39299,39476
4.750000e+00,9.958880e-01,39477,39640
4.770000e+00,9.965469e-01,38960,39095
4.790000e+00,9.963602e-01,38324,38464
4.810000e+00,9.965813e-01,39354,39489
4.830000e+00,9.967846e-01,39061,39187
4.850000e+00,9.970123e-01,39043,39160
4.870000e+00,9.973547e-01,38457,38559
4.890000e+00,9.976333e-01,38359,38450
4.910000e+00,9.974277e-01,38776,38876
4.930000e+00,9.983438e-01,39181,39246
4.950000e+00,9.981749e-01,39378,39450
4.970000e+00,9.981878e-01,39108,39179
4.990000e+00,9.982518e-01,38830,38898
5.010000e+00,9.987476e-01,38277,38325
5.030000e+00,9.986915e-01,38162,38212
5.050000e+00,9.987910e-01,38827,38874
5.070000e+00,9.988085e-01,38560,38606
5.090000e+00,9.992392e-01,38091,38120
5.110000e+00,9.993469e-01,38253,38278
5.130000e+00,9.991461e-01,38611,38644
5.150000e+00,9.995319e-01,38437,38455
5.170000e+00,9.996091e-01,38354,38369
5.190000e+00,9.995334e-01,38557,38575
5.210000e+00,9.994216e-01,38011,38033
5.230000e+00,9.994807e-01,38494,38514
5.250000e+00,9.997653e-01,38340,38349
5.270000e+00,9.996888e-01,38546,38558
5.290000e+00,9.997396e-01,38396,38406
5.310000e+00,9.996111e-01,38553,38568
5.330000e+00,9.997909e-01,38249,38257
5.350000e+00,9.996643e-01,38708,38721
5.370000e+00,9.997942e-01,38863,38871
5.390000e+00,9.997937e-01,38778,38786
5.410000e+00,9.997674e-01,38679,38688
5.430000e+00,9.996909e-01,38814,38826
5.450000e+00,9.998723e-01,39161,39166
5.470000e+00,9.996883e-01,38488,38500
5.490000e+00,9.997649e-01,38280,38289
5.510000e+00,9.998711e-01,38779,38784
5.530000e+00,9.998721e-01,39076,39081
5.550000e+00,9.998731e-01,39404,39409
5.570000e+00,9.998968e-01,38748,38752
5.590000e+00,9.999743e-01,38858,38859
5.610000e+00,9.999223e-01,38624,38627
5.630000e+00,9.998710e-01,38745,38750
5.650000e+00,9.998184e-01,38531,38538
5.670000e+00,9.999484e-01,38722,38724
5.690000e+00,9.999482e-01,38597,38599
5.710000e+00,9.999233e-01,39093,39096
