# step=10000 samples=4671226772094713856 bins=1000 vmax=30
v_center, density, count
8.470000e+00,2.559245e-02,39310
8.490000e+00,2.556510e-02,39268
8.510000e+00,2.529557e-02,38854
8.530000e+00,2.526172e-02,38802
8.550000e+00,2.498503e-02,38377
8.570000e+00,2.538607e-02,38993
8.590000e+00,2.548958e-02,39152
8.610000e+00,2.537044e-02,38969
8.630000e+00,2.509440e-02,38545
8.650000e+00,2.495964e-02,38338
8.670000e+00,2.517643e-02,38671
8.690000e+00,2.530273e-02,38865
8.710000e+00,2.559831e-02,39319
8.730000e+00,2.536784e-02,38965
8.750000e+00,2.508919e-02,38537
8.770000e+00,2.517578e-02,38670
8.790000e+00,2.532096e-02,38893
8.810000e+00,2.535221e-02,38941
8.830000e+00,2.554167e-02,39232
8.850000e+00,2.527865e-02,38828
8.870000e+00,2.528776e-02,38842
8.890000e+00,2.536393e-02,38959
8.910000e+00,2.519987e-02,38707
8.930000e+00,2.493685e-02,38303
8.950000e+00,2.483203e-02,38142
8.970000e+00,2.481055e-02,38109
8.990000e+00,2.511523e-02,38577
9.010000e+00,2.490885e-02,38260
9.030000e+00,2.471224e-02,37958
9.050000e+00,2.447917e-02,37600
9.070000e+00,2.493555e-02,38301
9.090000e+00,2.527604e-02,38824
9.110000e+00,2.510026e-02,38554
9.130000e+00,2.470312e-02,37944
9.150000e+00,2.482357e-02,38129
9.170000e+00,2.505859e-02,38490
9.190000e+00,2.492773e-02,38289
9.210000e+00,2.494857e-02,38321
9.230000e+00,2.513542e-02,38608
9.250000e+00,2.539648e-02,39009
9.270000e+00,2.502083e-02,38432
9.290000e+00,2.487174e-02,38203
9.310000e+00,2.478516e-02,38070
9.330000e+00,2.486068e-02,38186
9.350000e+00,2.473242e-02,37989
9.370000e+00,2.496745e-02,38350
9.390000e+00,2.471549e-02,37963
9.410000e+00,2.490104e-02,38248
9.430000e+00,2.483594e-02,38148
9.450000e+00,2.491536e-02,38270
9.470000e+00,2.446875e-02,37584
9.490000e+00,2.447852e-02,37599
9.510000e+00,2.412630e-02,37058
9.530000e+00,2.400781e-02,36876
9.550000e+00,2.392187e-02,36744
9.570000e+00,2.365430e-02,36333
9.590000e+00,2.348307e-02,36070
9.610000e+00,2.369271e-02,36392
9.630000e+00,2.366797e-02,36354
9.650000e+00,2.312695e-02,35523
9.670000e+00,2.313867e-02,35541
9.690000e+00,2.287240e-02,35132
9.710000e+00,2.300651e-02,35338
9.730000e+00,2.271940e-02,34897
9.750000e+00,2.263802e-02,34772
9.770000e+00,2.220638e-02,34109
9.790000e+00,2.228385e-02,34228
9.810000e+00,2.165299e-02,33259
9.830000e+00,2.167122e-02,33287
9.850000e+00,2.152409e-02,33061
9.870000e+00,2.161133e-02,33195
9.890000e+00,2.151693e-02,33050
9.910000e+00,2.148438e-02,33000
9.930000e+00,2.130794e-02,32729
9.950000e+00,2.136914e-02,32823
9.970000e+00,2.140104e-02,32872
9.990000e+00,2.149805e-02,33021
1.001000e+01,2.172591e-02,33371
1.003000e+01,2.145117e-02,32949
1.005000e+01,2.140820e-02,32883
1.007000e+01,2.157422e-02,33138
1.009000e+01,2.136003e-02,32809
1.011000e+01,2.127344e-02,32676
1.013000e+01,2.167773e-02,33297
1.015000e+01,2.127018e-02,32671
1.017000e+01,2.141406e-02,32892
1.019000e+01,2.187305e-02,33597
1.021000e+01,2.243424e-02,34459
1.023000e+01,2.263477e-02,34767
1.025000e+01,2.277539e-02,34983
1.027000e+01,2.254297e-02,34626
1.029000e+01,2.274089e-02,34930
1.031000e+01,2.316081e-02,35575
1.033000e+01,2.317643e-02,35599
1.035000e+01,2.338997e-02,35927
1.037000e+01,2.320508e-02,35643
1.039000e+01,2.373307e-02,36454
1.041000e+01,2.411589e-02,37042
1.043000e+01,2.429818e-02,37322
1.045000e+01,2.414128e-02,37081
1.047000e+01,2.426888e-02,37277
1.049000e+01,2.473568e-02,37994
1.051000e+01,2.441146e-02,37496
1.053000e+01,2.438607e-02,37457
1.055000e+01,2.440951e-02,37493
1.057000e+01,2.465560e-02,37871
1.059000e+01,2.439453e-02,37470
1.061000e+01,2.424349e-02,37238
1.063000e+01,2.445898e-02,37569
1.065000e+01,2.450521e-02,37640
1.067000e+01,2.452409e-02,37669
1.069000e+01,2.471615e-02,37964
1.071000e+01,2.499479e-02,38392
1.073000e+01,2.534115e-02,38924
1.075000e+01,2.529427e-02,38852
1.077000e+01,2.501042e-02,38416
1.079000e+01,2.484375e-02,38160
1.081000e+01,2.481576e-02,38117
1.083000e+01,2.517773e-02,38673
1.085000e+01,2.493164e-02,38295
1.087000e+01,2.544857e-02,39089
1.089000e+01,2.545182e-02,39094
1.091000e+01,2.531185e-02,38879
1.093000e+01,2.537109e-02,38970
1.095000e+01,2.547461e-02,39129
1.097000e+01,2.543294e-02,39065
1.099000e+01,2.537240e-02,38972
1.101000e+01,2.531706e-02,38887
1.103000e+01,2.548503e-02,39145
1.105000e+01,2.530339e-02,38866
1.107000e+01,2.481055e-02,38109
1.109000e+01,2.556706e-02,39271
1.111000e+01,2.533659e-02,38917
1.113000e+01,2.486784e-02,38197
1.115000e+01,2.487240e-02,38204
1.117000e+01,2.448503e-02,37609
1.119000e+01,2.441667e-02,37504
1.121000e+01,2.482096e-02,38125
1.123000e+01,2.469857e-02,37937
1.125000e+01,2.502604e-02,38440
1.127000e+01,2.520508e-02,38715
1.129000e+01,2.522005e-02,38738
1.131000e+01,2.504036e-02,38462
1.133000e+01,2.484049e-02,38155
1.135000e+01,2.512891e-02,38598
1.137000e+01,2.526172e-02,38802
1.139000e+01,2.539062e-02,39000
1.141000e+01,2.552734e-02,39210
1.143000e+01,2.547786e-02,39134
1.145000e+01,2.535091e-02,38939
1.147000e+01,2.566016e-02,39414
1.149000e+01,2.548958e-02,39152
1.151000e+01,2.515755e-02,38642
1.153000e+01,2.528776e-02,38842
1.155000e+01,2.508854e-02,38536
1.157000e+01,2.531185e-02,38879
1.159000e+01,2.545313e-02,39096
1.161000e+01,2.546419e-02,39113
1.163000e+01,2.570313e-02,39480
1.165000e+01,2.571745e-02,39502
1.167000e+01,2.589844e-02,39780
1.169000e+01,2.568034e-02,39445
