time,kinetic_energy,potential_energy,total_energy
1.650000,658.820627,1748.432137,2407.252764,0.000000
1.660000,652.157572,1750.296402,2402.453974,0.000000
1.670000,646.287611,1751.494572,2397.782183,0.000000
1.680000,648.098234,1752.525605,2400.623838,0.000000
1.690000,654.517291,1752.585318,2407.102609,0.000000
1.700000,655.714390,1752.872688,2408.587078,0.000000
1.710000,652.892813,1753.181813,2406.074626,0.000000
1.720000,647.660054,1754.412768,2402.072822,0.000000
1.730000,641.371563,1755.292919,2396.664483,0.000000
1.740000,634.433945,1757.011789,2391.445734,0.000000
1.750000,628.323688,1758.785982,2387.109670,0.000000
1.760000,621.960626,1761.680551,2383.641177,0.000000
1.770000,619.669221,1764.585822,2384.255043,0.000000
1.780000,621.959854,1767.332357,2389.292210,0.000000
1.790000,621.515839,1769.669334,2391.185174,0.000000
1.800000,620.325555,1771.367108,2391.692664,0.000000
1.810000,620.969010,1773.083376,2394.052386,0.000000
1.820000,618.703696,1775.113399,2393.817095,0.000000
1.830000,616.892658,1777.423561,2394.316218,0.000000
1.840000,613.087798,1780.143759,2393.231557,0.000000
1.850000,611.720197,1783.014112,2394.734309,0.000000
1.860000,613.148849,1785.227215,2398.376064,0.000000
1.870000,613.746891,1787.558835,2401.305726,0.000000
1.880000,609.879693,1790.189311,2400.069005,0.000000
1.890000,600.275064,1792.927252,2393.202316,0.000000
1.900000,593.926784,1794.857527,2388.784311,0.000000
1.910000,593.430066,1796.582493,2390.012558,0.000000
1.920000,590.384257,1798.222955,2388.607212,0.000000
1.930000,589.097076,1800.220274,2389.317351,0.000000
1.940000,595.548031,1802.530573,2398.078604,0.000000
1.950000,600.482855,1804.698745,2405.181600,0.000000
1.960000,594.577750,1807.504927,2402.082678,0.000000
1.970000,586.861815,1809.254926,2396.116740,0.000000
1.980000,582.571095,1810.531509,2393.102604,0.000000
1.990000,579.554478,1810.638172,2390.192649,0.000000
2.000000,579.317430,1810.273878,2389.591307,0.000000
2.010000,578.423236,1809.123047,2387.546284,0.000000
2.020000,571.747526,1806.785083,2378.532609,0.000000
2.030000,569.389912,1802.766952,2372.156864,0.000000
2.040000,577.007437,1797.436541,2374.443978,0.000000
